TransactionID,Timestamp,MerchantID,Amount,CustomerID,TransactionAmount,AnomalyScore,FraudIndicator,Category,MerchantName,MerchantLocation,CustomerName,CustomerAge,CustomerAddress,AccountBalance,LastLogin,SuspiciousFlag
1,2022-01-01 00:00:00,2701,55.530334429869185,1952,79.41360746377397,0.6866994638180963,0,Other,Merchant 2701,Location 2701,Customer 1952,50,Address 1952,2869.689912187824,2024-08-09,0
2,2022-01-01 01:00:00,2070,12.881180192784145,1027,12.053087153568082,0.0817488708011465,0,Online,Merchant 2070,Location 2070,Customer 1027,46,Address 1027,9527.947107479318,2022-01-27,0
3,2022-01-01 02:00:00,2238,50.176321517065674,1955,33.31035719105734,0.0238568301053087,0,Travel,Merchant 2238,Location 2238,Customer 1955,34,Address 1955,9288.355524766564,2024-08-12,0
4,2022-01-01 03:00:00,2879,41.63400105303006,1796,46.12111728963105,0.8769943477359176,0,Travel,Merchant 2879,Location 2879,Customer 1796,33,Address 1796,5588.049941710766,2024-03-06,0
5,2022-01-01 04:00:00,2966,78.12285326574603,1946,54.05161801340517,0.0340587726731107,0,Other,Merchant 2966,Location 2966,Customer 1946,18,Address 1946,7324.785331781815,2024-08-03,0
6,2022-01-01 05:00:00,2757,86.94708413376785,1204,34.54513807247706,0.1211728992013775,0,Food,Merchant 2757,Location 2757,Customer 1204,45,Address 1204,3152.247786827239,2022-07-23,0
7,2022-01-01 06:00:00,2096,51.1470964781812,1311,55.383112817522296,0.1098916756547063,0,Food,Merchant 2096,Location 2096,Customer 1311,25,Address 1311,9253.478916937507,2022-11-07,0
8,2022-01-01 07:00:00,2493,56.163984308348134,1693,17.855877857196635,0.7805342072486868,0,Travel,Merchant 2493,Location 2493,Customer 1693,27,Address 1693,8765.03586083079,2023-11-24,0
9,2022-01-01 08:00:00,2612,37.182411723100415,1347,75.65994449829373,0.0104709053716154,1,Retail,Merchant 2612,Location 2612,Customer 1347,20,Address 1347,8935.00714558585,2022-12-13,0
10,2022-01-01 09:00:00,2638,17.245409041786953,1574,67.93187884012292,0.0293762699375884,0,Other,Merchant 2638,Location 2638,Customer 1574,55,Address 1574,5541.1979214653875,2023-07-28,0
11,2022-01-01 10:00:00,2007,86.18094790838266,1424,23.89562271190145,0.0834553954788118,0,Other,Merchant 2007,Location 2007,Customer 1424,37,Address 1424,4344.549864306991,2023-02-28,0
12,2022-01-01 11:00:00,2746,95.55400891993546,1302,17.797222024189402,0.4517349450635481,0,Food,Merchant 2746,Location 2746,Customer 1302,54,Address 1302,2670.1130146853484,2022-10-29,0
13,2022-01-01 12:00:00,2092,47.13851441157395,1321,64.78165788186897,0.4448031201651125,0,Other,Merchant 2092,Location 2092,Customer 1321,47,Address 1321,2685.9423652780533,2022-11-17,0
14,2022-01-01 13:00:00,2892,98.80425008117196,1700,43.691459478352925,0.9973396329012194,0,Travel,Merchant 2892,Location 2892,Customer 1700,22,Address 1700,6735.159471122309,2023-12-01,0
15,2022-01-01 14:00:00,2849,99.83263446243002,1321,35.45084414311964,0.8279264002423734,0,Other,Merchant 2849,Location 2849,Customer 1321,47,Address 1321,2685.9423652780533,2022-11-17,0
16,2022-01-01 15:00:00,2640,20.735039147246727,1463,47.62737483292299,0.4559473695840319,0,Other,Merchant 2640,Location 2640,Customer 1463,46,Address 1463,1847.3263923843544,2023-04-08,0
17,2022-01-01 16:00:00,2858,44.545118851072075,1962,83.80043412877465,0.0786169688869532,0,Other,Merchant 2858,Location 2858,Customer 1962,39,Address 1962,7989.117483166383,2024-08-19,0
18,2022-01-01 17:00:00,2479,27.05493666999777,1854,67.01973545243015,0.5328202953043202,0,Travel,Merchant 2479,Location 2479,Customer 1854,57,Address 1854,9960.172528289351,2024-05-03,0
19,2022-01-01 18:00:00,2470,13.615519156393288,1651,79.67952921186595,0.2520122859524184,1,Food,Merchant 2470,Location 2470,Customer 1651,58,Address 1651,8326.14998923507,2023-10-13,0
20,2022-01-01 19:00:00,2933,20.80228963510888,1715,23.12632324762183,0.2791586079368224,0,Travel,Merchant 2933,Location 2933,Customer 1715,57,Address 1715,9103.487493642171,2023-12-16,0
21,2022-01-01 20:00:00,2835,36.04360521851923,1724,60.70535435436163,0.6759407120991201,0,Travel,Merchant 2835,Location 2835,Customer 1724,32,Address 1724,8830.49151334518,2023-12-25,0
22,2022-01-01 21:00:00,2220,99.1004273987159,1117,53.84670686845873,0.1242284781235212,0,Online,Merchant 2220,Location 2220,Customer 1117,52,Address 1117,7288.036637655037,2022-04-27,0
23,2022-01-01 22:00:00,2465,85.4201781893225,1613,15.579538194663694,0.1953263896357612,0,Travel,Merchant 2465,Location 2465,Customer 1613,21,Address 1613,8486.464783345322,2023-09-05,0
24,2022-01-01 23:00:00,2480,84.05328458627297,1643,13.386777836538998,0.6172898016719134,0,Retail,Merchant 2480,Location 2480,Customer 1643,52,Address 1643,7833.796203088414,2023-10-05,0
25,2022-01-02 00:00:00,2305,50.258612452465634,1788,98.4640558012606,0.2443530379310863,0,Travel,Merchant 2305,Location 2305,Customer 1788,27,Address 1788,4384.800511892174,2024-02-27,0
26,2022-01-02 01:00:00,2753,52.593928648769634,1251,95.19370554798026,0.4870702896864038,0,Other,Merchant 2753,Location 2753,Customer 1251,34,Address 1251,1820.9385858995977,2022-09-08,0
27,2022-01-02 02:00:00,2301,20.48932094343152,1960,77.5092196540028,0.4227359977610908,0,Other,Merchant 2301,Location 2301,Customer 1960,34,Address 1960,9934.498596865016,2024-08-17,0
28,2022-01-02 03:00:00,2914,12.397442736592344,1187,51.77113770450813,0.838064383449069,0,Online,Merchant 2914,Location 2914,Customer 1187,46,Address 1187,4845.969183660771,2022-07-06,0
29,2022-01-02 04:00:00,2322,25.334803493141827,1121,73.08040768249539,0.4633405713676668,0,Other,Merchant 2322,Location 2322,Customer 1121,23,Address 1121,4584.987687518285,2022-05-01,0
30,2022-01-02 05:00:00,2932,70.07512697850342,1117,83.8842181328395,0.6466000102947055,0,Retail,Merchant 2932,Location 2932,Customer 1117,52,Address 1117,7288.036637655037,2022-04-27,0
